"gift_id";"gift_name";"category_value"
"1";"Мягкая игрушка-медвежонок";"Игрушки"
"2";"Кукла Барби";"Игрушки"
"3";"Набор для рисования";"Игрушки"
"4";"Пазл с животными";"Игрушки"
"5";"Мозаика для детей";"Игрушки"
"6";"Конструктор LEGO";"Игрушки"
"7";"Настольная игра 'Монополия'";"Игрушки"
"8";"Роликовые коньки";"Спорт"
"9";"Детский велосипед";"Спорт"
"10";"Скейтборд";"Спорт"
"11";"Робот-конструктор";"Игрушки"
"12";"Спортивный набор для футбола";"Спорт"
"13";"Ноутбук для детей";"Электроника"
"14";"Планшет для обучения";"Электроника"
"15";"Смарт-часы для детей";"Электроника"
"16";"Игровая приставка";"Электроника"
"17";"Смартфон";"Электроника"
"18";"Электросамокат";"Электроника"
"19";"Беспроводные наушники";"Электроника"
"20";"Камера моментальной печати";"Электроника"
"21";"Электронная книга";"Электроника"
"22";"Умные очки";"Электроника"
"23";"Портативная колонка";"Электроника"
"24";"Многофункциональный плеер";"Электроника"
"25";"Фигурка супергероя";"Игрушки"
"26";"Подарочный сертификат в магазин игрушек";"Подарочные сертификаты"
"27";"Набор для творчества 'Рисуй и лепи'";"Игрушки"
"28";"Беспроводная мышь для детей";"Электроника"
"29";"Клавиатура для начинающих геймеров";"Электроника"
"30";"Комплект аксессуаров для гейминга";"Электроника"
"31";"Интерактивный обучающий робот";"Электроника"
"32";"Развивающая настольная игра";"Игрушки"
"33";"Кукла с голосовыми фразами";"Игрушки"
"34";"Набор для экспериментов";"Детские товары"
"35";"Мягкий плюшевый зверёк";"Игрушки"
"36";"Детский барабан";"Музыкальные инструменты"
"37";"Мини-проектор для детей";"Электроника"
"38";"Фигурки динозавров";"Игрушки"
"39";"Набор для лепки из глины";"Игрушки"
"40";"Игра с кубиками";"Игрушки"
"41";"Мини-робот-пылесос";"Электроника"
"42";"Игровой набор 'Мастерская'";"Игрушки"
"43";"Детский тренажёр для фитнеса";"Спорт"
"44";"Детская палатка для игр";"Игрушки"
"45";"Магнитный конструктор";"Игрушки"
"46";"Рисовальный стол с подсветкой";"Домашняя техника"
"47";"Набор наклеек для творчества";"Канцелярия"
"48";"Стильный рюкзак для школы";"Одежда"
"49";"Детские кроссовки";"Обувь"
"50";"Набор для фокусов";"Игрушки"
"51";"Интерактивная книга";"Книги"
"52";"Светящиеся кроссовки";"Обувь"
"53";"Пижама с героями мультфильмов";"Одежда"
"54";"Сумка для школы";"Канцелярия"
"55";"Набор 'Сам себе художник'";"Игрушки"
"56";"Игрушечный микрофон";"Музыкальные инструменты"
"57";"Плюшевая игрушка-слон";"Игрушки"
"58";"Детский фотоаппарат";"Электроника"
"59";"Набор инструментов для детей";"Игрушки"
"60";"Набор для создания украшений";"Украшения"
"61";"Мини-набор для химических экспериментов";"Детские товары"
"62";"Светодиодная лампа для комнаты";"Домашняя техника"
"63";"Портативная игровая консоль";"Игровые консоли"
"64";"Компактный дрон для детей";"Электроника"
"65";"Набор для вышивки";"Канцелярия"
"66";"Зубная щётка с персонажем";"Детские товары"
"67";"Игрушечный рогатый бык";"Игрушки"
"68";"Футболка с супергероем";"Одежда"
"69";"Бейсболка с логотипом";"Одежда"
"70";"Набор акварельных красок";"Канцелярия"
"71";"Набор пластилина";"Игрушки"
"72";"Мини-робот для программирования";"Электроника"
"73";"Умная колонка для детей";"Электроника"
"74";"Набор косметики для детей";"Косметика"
"75";"Набор для мини-гольфа";"Спорт"
"76";"Набор для тенниса";"Спорт"
"77";"Сборник сказок в аудио формате";"Книги"
"78";"Электронный будильник с проектором";"Электроника"
"79";"Игрушечная машина с ДУ";"Игрушки"
"80";"Набор для создания роботов";"Электроника"
"81";"Подарочный набор шоколадных конфет";"Продукты питания"
"82";"Набор для мозаики из камней";"Игрушки"
"83";"Рюкзак с рисунком";"Одежда"
"84";"Плюшевая кукла";"Игрушки"
"85";"Набор 'Фантазия' для творчества";"Игрушки"
"86";"Детская посуда";"Товары для дома"
"87";"Настенная картина для детской";"Мебель"
"88";"Интерактивная обучающая игра";"Игрушки"
"89";"Цифровая фоторамка";"Электроника"
"90";"Мини-набор для робототехники";"Электроника"
"91";"Набор для настольного тенниса";"Спорт"
"92";"Электронный словарь для детей";"Электроника"
"93";"Набор для создания скульптур";"Игрушки"
"94";"Детский комплект постельного белья";"Одежда"
"95";"Набор для декоративного творчества";"Канцелярия"
"96";"Мини-компьютер для детей";"Компьютерная техника"
"97";"Игровой набор для домашнего театра";"Игрушки"
"98";"Набор для экспериментов с магнитами";"Детские товары"
"99";"Детский проектор для мультфильмов";"Электроника"
"100";"Подарочный сертификат в развлекательный центр";"Подарочные сертификаты"
